Fulfilment Location Name,Channel Order ID,Parent Order ID,Shipment ID,External Item Code,Client SKU ID / EAN,Sales Channel
increff warehouse bangalore,KO210718,KO210718,155278,B19835EDD12,SAUS0038515_MAUVE,SHOPIFYIN
increff warehouse bangalore,KO210719,KO210719,155295,B50CDD78F36,SAUS0018947_WINE,SHOPIFYIN
increff warehouse bangalore,KO210711,KO210711,155298,K948559,SSRM0032522_PEACOCK_BLUE_M,SHOPIFYIN
increff warehouse bangalore,KO210743,KO210743,155300,B297C51A555,SAUS0039231_PINK,SHOPIFYIN
increff warehouse bangalore,KO210441,KO210441,155316,K854815,SAUS0017318_LIGHT_GREY,SHOPIFYIN
increff warehouse bangalore,KO210750,KO210750,155214,K1105978,SAUS0029900_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO210581,KO210581,155195,B6138DBE4F6,SSUS0038967_LAVENDER,SHOPIFYIN
increff warehouse bangalore,KO209429,KO209429,152466,K1078674,SAUS0021889_GREY,SHOPIFYIN
increff warehouse bangalore,KO209852,KO209852,153472,K1024924,BLRM0033492_GREEN_L,SHOPIFYIN
increff warehouse bangalore,KO209853,KO209853,153500,K951713,SSUS0021713_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO209858,KO209858,153574,B2B83C6EE37,SSUS0038795_LAVENDER,SHOPIFYIN
increff warehouse bangalore,KO209858,KO209858,153574,B45AB6B70BE,SSUS0039265_PEACH,SHOPIFYIN
increff warehouse bangalore,KO209858,KO209858,153574,B5DAD8928F4,SSUS0038320_PINK,SHOPIFYIN
increff warehouse bangalore,KO209972,KO209972,153709,B17A0DDD16B,SAUS0038566_RAMA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO210225,KO210225,154138,AF6E2ACE35D,SAUS0032260_MAROON,SHOPIFYIN
increff warehouse bangalore,KO210342,KO210342,154322,B69308786C9,GNRM0038253_PURPLE_L,SHOPIFYIN
increff warehouse bangalore,KO210002,KO210002,153715,K845136,SAUS0030105_MEHENDI,SHOPIFYIN
increff warehouse bangalore,KO210002,KO210002,153715,K909499,SAUS0031503_BABY_PINK,SHOPIFYIN
increff warehouse bangalore,KO202053,KO202053,135066,K1118849,SSUS0022506_PISTA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO202088,KO202088,135075,K1018485,BLRM0034599_RANI_PINK_M,SHOPIFYIN
increff warehouse bangalore,KO202076,KO202076,135087,K1118363,SAUS0020095_PISTA_GREEN,SHOPIFYIN
increff warehouse bangalore,KO202073,KO202073,135139,K1062411,SSUS0033072_YELLOW,SHOPIFYIN
increff warehouse bangalore,KO202073,KO202073,135139,K1106372,SSUS0033106_PEACOCK_BLUE,SHOPIFYIN
increff warehouse bangalore,KO202030,KO202030,134916,K1118888,SAUS0029900_WINE,SHOPIFYIN
increff warehouse bangalore,9c8aac0d-5ad8-4e4b-89f3-51becd601932_1100170442,9c8aac0d-5ad8-4e4b-89f3-51becd601932,135330,K1115701,SAUS0016434_SKY_BLUE,MYNTRA
increff warehouse bangalore,3cd7b4ba-1dc4-4a12-ab0d-1c4042e32068_1100170442,3cd7b4ba-1dc4-4a12-ab0d-1c4042e32068,135332,K1079497,SAUS0034607_WINE,MYNTRA
increff warehouse bangalore,94e0b5bb-25c3-4181-9776-d3a623cf702b_1100170442,94e0b5bb-25c3-4181-9776-d3a623cf702b,135336,K1090078,SAUS0034608_PEACOCK_BLUE,MYNTRA
increff warehouse bangalore,7194a445-c27f-48f7-9e32-fdf9e0f54206_1100170442,7194a445-c27f-48f7-9e32-fdf9e0f54206,135284,K1118370,SAUS0020095_PISTA_GREEN,MYNTRA
increff warehouse bangalore,95279abc-9c16-4946-8f13-ac6135e49cc2_1100170442,95279abc-9c16-4946-8f13-ac6135e49cc2,135290,K1087110,SAUS0032361_MAUVE,MYNTRA
increff warehouse bangalore,eb12cc31-c423-4a6a-a1fb-9a21b4bdde49_1100170442,eb12cc31-c423-4a6a-a1fb-9a21b4bdde49,135295,K1047446,SAUS0029624_WINE,MYNTRA
increff warehouse bangalore,4301da86-f525-4c0f-981e-44b82bc92b23_1100170442,4301da86-f525-4c0f-981e-44b82bc92b23,135299,K891633,SAUS0021889_BABY_PINK,MYNTRA
increff warehouse bangalore,65cf8466-6de9-4df8-901f-48e69c9170c3_1100170442,65cf8466-6de9-4df8-901f-48e69c9170c3,135301,K1094745,SAUS0032358_ONION_PINK,MYNTRA
increff warehouse bangalore,927333a4-e181-4674-b75a-60299940ef5b_1100170442,927333a4-e181-4674-b75a-60299940ef5b,135303,K1105203,SAUS0032360_SKY_BLUE,MYNTRA
increff warehouse bangalore,fa3621e0-0bfb-4247-b41c-b6dba15e5d73_1100170442,fa3621e0-0bfb-4247-b41c-b6dba15e5d73,135305,K805516,SSUS0022160_PINK_YELLOW,MYNTRA
increff warehouse bangalore,d4d63d87-639a-43ae-943a-f296f5e7f8a6_1100170442,d4d63d87-639a-43ae-943a-f296f5e7f8a6,135190,K1078274,SAUS0021889_GREY,MYNTRA
increff warehouse bangalore,af6e67df-58cd-477d-b5c6-c05d8e470fc5_1100170442,af6e67df-58cd-477d-b5c6-c05d8e470fc5,135192,K908934,SAUS0021893_PEACOCK_BLUE,MYNTRA
increff warehouse bangalore,2af6d1a6-b5c2-4149-9b12-788e4fd723ed_1100170442,2af6d1a6-b5c2-4149-9b12-788e4fd723ed,135195,K1098824,SAUS0016434_YELLOW,MYNTRA
increff warehouse bangalore,5c1142e7-2dfa-41aa-9bab-d2f2dddbba05_1100170442,5c1142e7-2dfa-41aa-9bab-d2f2dddbba05,135196,K1013267,SAUS0032361_MEHENDI,MYNTRA
increff warehouse bangalore,7f3d2eb0-884c-401a-bca1-7fdd5188aa51_1100170442,7f3d2eb0-884c-401a-bca1-7fdd5188aa51,135197,K1013277,SAUS0032361_MEHENDI,MYNTRA
increff warehouse bangalore,a8a6671e-812f-4374-a631-07266d82eed7_1100170442,a8a6671e-812f-4374-a631-07266d82eed7,135198,K1079635,SAUS0034608_BLACK,MYNTRA
